fpid,name,position,team,bye,ffc_adp,fp_pts,wwo_pts,blend_pts,source,diff,wwo_7d_delta,ciely_pts
20130,Nico Collins,WR,HOU,8,21.1,206.7,213.9,208.9,blendWC,7.2,0.0,211.7
27166,Cam Skattebo,RB,NYG,8,39.7,212.2,205.2,205.5,blendWC,-7.0,0.0,192.3
19210,D'Andre Swift,RB,CHI,10,43.4,205.9,208.9,204.8,blendWC,2.9,0.0,201.1
22955,Brock Bowers,TE,LV,13,42.9,195.4,196.2,204.1,blendWC,0.9,0.0,224.2
22936,Trey McBride,TE,ARI,14,38.4,201.6,204.2,202.8,blendWC,2.5,0.0,204.6
22916,Zay Flowers,WR,BAL,13,24.5,201.2,188.2,200.8,blendWC,-13.0,0.0,204.2
25391,Quinshon Judkins,RB,CLE,11,51.4,200.1,199.6,198.7,blendWC,-0.5,0.0,195.7
25409,Malik Nabers,WR,NYG,8,25.5,199.9,207.5,196.5,blendWC,7.6,9.4,186.0
27297,Bhayshul Tuten,RB,JAC,7,53.0,192.7,175.5,195.4,blendWC,-17.2,0.0,207.5
25417,Tetairoa McMillan,WR,CAR,5,30.0,193.2,187.8,194.7,blendWC,-5.4,0.0,199.8
19222,DeVonta Smith,WR,PHI,10,31.0,192.9,196.1,194.6,blendWC,3.1,0.0,197.5
19211,Tee Higgins,WR,CIN,6,35.8,186.3,188.4,193.3,blendWC,2.1,0.0,208.7
23072,Garrett Wilson,WR,NYJ,13,31.2,194.6,187.8,192.9,blendWC,-6.7,0.0,191.1
23677,Jameson Williams,WR,DET,6,39.9,185.1,175.8,192.0,blendWC,-9.3,0.0,211.2
23062,Emeka Egbuka,WR,TB,10,33.9,191.7,204.0,191.4,blendWC,12.4,0.0,186.8
18239,David Montgomery,RB,HOU,8,56.4,180.5,198.6,191.1,blendWC,18.2,0.0,210.0
12123,Davante Adams,WR,LAR,11,37.2,187.7,181.1,187.5,blendWC,-6.6,0.0,189.2
26122,Ladd McConkey,WR,LAC,7,40.7,180.7,176.4,187.3,blendWC,-4.3,2.0,204.0
28013,Fernando Mendoza,QB,LV,,,191.8,225.0,184.5,blendWC,33.2,26.0,156.4
26006,Colston Loveland,TE,CHI,10,60.8,171.8,165.6,184.5,blendWC,-6.3,0.0,216.2
18269,Josh Jacobs,RB,GB,11,26.9,225.5,217.1,183.5,blendWC,-8.5,0.0,88.1
27329,Jadarian Price,RB,SEA,11,73.1,176.8,167.1,183.1,blendWC,-9.7,0.0,200.9
19790,Jaylen Waddle,WR,DEN,10,47.5,173.1,177.6,181.7,blendWC,4.5,2.5,200.2
22726,Rhamondre Stevenson,RB,NE,11,62.8,173.0,159.6,181.3,blendWC,-13.4,0.0,205.0
18466,Terry McLaurin,WR,WAS,7,45.9,175.3,178.1,181.0,blendWC,2.7,0.0,193.4
23065,TreVeyon Henderson,RB,NE,11,62.6,173.8,181.0,180.4,blendWC,7.2,-2.9,193.5
17265,DJ Moore,WR,BUF,7,46.3,173.8,167.3,177.2,blendWC,-6.5,0.0,187.3
27016,Luther Burden III,WR,CHI,10,57.4,171.7,165.3,177.1,blendWC,-6.4,0.0,192.0
12119,Mike Evans,WR,SF,8,53.6,169.4,166.3,173.8,blendWC,-3.1,0.0,185.0
24209,Jaylen Warren,RB,PIT,9,63.7,172.2,160.5,173.1,blendWC,-11.6,0.0,179.1
25411,Rome Odunze,WR,CHI,10,50.0,173.9,165.0,172.9,blendWC,-8.9,0.0,173.6
19647,Rico Dowdle,RB,PIT,9,75.3,164.4,180.7,170.4,blendWC,16.3,0.0,178.9
26434,Tyler Warren,TE,IND,13,71.6,159.7,164.5,169.1,blendWC,4.7,0.0,189.5
23886,Christian Watson,WR,GB,11,55.9,165.0,157.4,168.1,blendWC,-7.6,0.0,177.7
18705,Tony Pollard,RB,TEN,9,66.8,171.9,176.5,167.7,blendWC,4.6,0.0,156.5
23106,Parker Washington,WR,JAC,7,64.9,153.1,161.1,167.4,blendWC,8.0,0.0,198.1
17253,Courtland Sutton,WR,DEN,10,60.3,164.9,152.5,165.8,blendWC,-12.3,0.0,172.1
18219,DK Metcalf,WR,PIT,9,64.6,163.1,160.2,165.2,blendWC,-2.9,0.0,170.9
27050,Harold Fannin Jr.,TE,CLE,11,81.5,157.6,148.6,161.0,blendWC,-8.9,0.0,172.0
23064,Marvin Harrison Jr.,WR,ARI,14,66.8,165.2,161.1,160.9,blendWC,-4.2,0.0,152.2
16499,George Kittle,TE,SF,8,98.4,150.4,147.3,160.8,blendWC,-3.1,0.0,186.2
26148,Jonathon Brooks,RB,CAR,5,90.5,149.3,162.6,158.8,blendWC,13.3,0.0,176.4
26009,Carnell Tate,WR,TEN,9,76.0,145.8,149.8,158.6,blendWC,4.0,0.0,186.9
19245,J.K. Dobbins,RB,DEN,10,78.4,166.4,163.2,157.8,blendWC,-3.1,0.0,139.0
23791,Alec Pierce,WR,IND,13,62.7,164.0,166.0,157.8,blendWC,2.0,0.0,142.7
25298,Tucker Kraft,TE,GB,11,95.4,146.0,150.0,155.4,blendWC,4.0,0.0,175.8
20164,Kyle Pitts Sr.,TE,ATL,11,87.6,149.2,153.0,154.9,blendWC,3.9,0.0,167.0
22978,Sam LaPorta,TE,DET,6,124.0,148.9,174.3,154.3,blendWC,25.3,0.0,158.4
23123,Quentin Johnston,WR,LAC,7,87.5,143.1,140.8,154.2,blendWC,-2.3,0.0,180.7
26068,Brandon Aubrey,K,DAL,14,133.3,153.0,,153.0,fp_only,,,
19278,Michael Pittman Jr.,WR,PIT,9,81.1,150.1,151.7,151.9,blendWC,1.6,0.0,155.8
23000,Brian Thomas Jr.,WR,JAC,7,70.9,152.1,145.3,151.5,blendWC,-6.7,0.0,152.4
11594,Travis Kelce,TE,KC,5,121.5,144.9,140.4,150.8,blendWC,-4.5,0.0,166.0
19792,Chuba Hubbard,RB,CAR,5,86.6,155.4,161.4,150.7,blendWC,6.0,0.0,137.7
14003,Jason Myers,K,SEA,11,131.5,150.4,,150.4,fp_only,,,
23020,Jayden Reed,WR,GB,11,88.2,144.1,159.2,149.1,blendWC,15.1,0.0,155.8
27142,RJ Harvey,RB,DEN,10,104.1,139.2,148.1,147.6,blendWC,8.9,0.0,164.2
23310,Kenny Gainwell,RB,TB,10,100.5,146.7,151.9,147.2,blendW,5.2,0.0,
23107,Jordan Addison,WR,MIN,6,85.8,141.3,139.3,146.1,blendWC,-2.0,0.0,158.1
17270,Dallas Goedert,TE,PHI,10,96.4,146.7,122.0,145.7,blendWC,-24.7,0.0,151.6
