name,position,team,idp_pts
Kamren Kinchens,DB,LAR,100.0
Mike Sainristil,DB,WAS,99.6
Teddye Buchanan,LB,BAL,99.6
Danielle Hunter,DL,HOU,99.5
Danielle Hunter,LB,HOU,99.5
Benjamin Morrison,DB,TB,99.4
Jacob Rodriguez,LB,MIA,98.6
C.J. Gardner-Johnson,DB,BUF,98.5
Dru Phillips,DB,NYG,98.3
Mike Jackson Sr.,DB,CAR,98.1
Tarheeb Still,DB,LAC,98.0
Joey Porter Jr.,DB,PIT,97.3
Jonas Sanker,DB,NO,97.2
Will Johnson,DB,ARI,96.8
Byron Young,DL,LAR,96.8
Byron Young,LB,LAR,96.8
Javon Bullard,DB,GB,96.6
Payton Wilson,LB,PIT,96.4
Quinyon Mitchell,DB,PHI,96.2
Alex Highsmith,DL,PIT,95.2
Alex Highsmith,LB,PIT,95.2
Maxwell Hairston,DB,BUF,94.9
Pat Surtain II,DB,DEN,94.5
Byron Murphy Jr.,DB,MIN,94.3
Will Harris,DB,WAS,94.2
Upton Stout,DB,SF,94.0
Jacob Parrish,DB,TB,93.8
Mike Hughes,DB,ATL,93.5
AJ Haulcy,DB,IND,93.2
Tuli Tuipulotu,DL,LAC,92.9
Tuli Tuipulotu,LB,LAC,92.9
Dallas Turner,DL,MIN,92.3
Dallas Turner,LB,MIN,92.3
DeForest Buckner,DL,IND,91.9
Riley Moss,DB,DEN,91.3
Montaric Brown,DB,JAC,91.2
Khalil Mack,DL,LAC,90.8
Khalil Mack,LB,LAC,90.8
Jared Verse,DL,CLE,90.6
Jared Verse,LB,CLE,90.6
Cam Hart,DB,LAC,90.5
Isaiah Rodgers Sr.,DB,MIN,90.3
DJ Turner II,DB,CIN,90.3
Tommy Togiai,DL,HOU,90.2
Jourdan Lewis,DB,JAC,90.0
Nik Bonitto,DL,DEN,89.7
Nik Bonitto,LB,DEN,89.7
Marcus Harris,DB,TEN,89.2
Montez Sweat,DL,CHI,89.1
Charvarius Ward,DB,IND,88.8
Zach Harrison,DL,ATL,88.8
Chris Johnson,DB,MIA,88.7
Elijah Molden,DB,LAC,88.5
Jaylon Johnson,DB,CHI,88.5
Deommodore Lenoir,DB,SF,88.5
Byron Murphy II,DL,SEA,88.5
Jordan Davis,DL,PHI,88.2
Trey Hendrickson,DL,BAL,88.1
Trey Hendrickson,LB,BAL,88.1
Jonathan Greenard,DL,PHI,88.0
Jonathan Greenard,LB,PHI,88.0
Geno Stone,DB,BUF,87.2
Ed Oliver,DL,BUF,87.2
Derrick Brown,DL,CAR,87.0
Chase Young,DL,NO,86.9
Cor'Dale Flott,DB,TEN,85.7
Abdul Carter,DL,NYG,85.7
Abdul Carter,LB,NYG,85.7
Nnamdi Madubuike,DL,BAL,85.4
Harold Landry III,DL,NE,85.0
Harold Landry III,LB,NE,85.0
Marcus Epps,DB,PHI,84.9
James Pierre,DB,MIN,84.7
Rock Ya-Sin,DB,DET,84.5
Malcolm Roach,DL,DEN,84.4
Ja'Quan McMillian,DB,DEN,84.3
Theo Jackson,DB,MIN,84.1
Dee Alford,DB,BUF,84.0
Danny Stutsman,LB,NO,84.0
Christian Benford,DB,BUF,83.5
A'Shawn Robinson,DL,TB,83.5
Jalen Carter,DL,PHI,83.3
Jonathon Cooper,DL,DEN,83.2
Jonathon Cooper,LB,DEN,83.2
Nahshon Wright,DB,NYJ,83.1
Lukas Van Ness,DL,GB,83.1
Lukas Van Ness,LB,GB,83.1
Adam Butler,DL,LV,83.0
Greg Rousseau,DL,BUF,83.0
Josh Hines-Allen,DL,JAC,83.0
Greg Rousseau,LB,BUF,83.0
Josh Hines-Allen,LB,JAC,83.0
Pete Werner,LB,NO,82.7
Derek Stingley Jr.,DB,HOU,82.2
Cameron Heyward,DL,PIT,82.2
Quinnen Williams,DL,DAL,81.5
Carl Granderson,DL,NO,81.4
Carl Granderson,LB,NO,81.4
Austin Booker,DL,CHI,81.3
Austin Booker,LB,CHI,81.3
Owen Pappoe,LB,ARI,81.2
Jermaine Johnson II,DL,TEN,81.0
Eric Stokes,DB,LV,80.9
Jaylinn Hawkins,DB,BAL,80.8
B.J. Hill,DL,CIN,80.5
DeMarcus Lawrence,DL,SEA,80.4
Micah Parsons,DL,GB,80.4
DeMarcus Lawrence,LB,SEA,80.4
Micah Parsons,LB,GB,80.4
Travon Walker,DL,JAC,80.0
Travon Walker,LB,JAC,80.0
Milton Williams,DL,NE,79.8
Josh Jobe,DB,SEA,79.6
Jalen Redmond,DL,MIN,79.2
Yaya Diaby,DL,TB,79.2
Yaya Diaby,LB,TB,79.2
Kyler Gordon,DB,CHI,79.0
Chau Smith-Wade,DB,CAR,78.8
Tony Jefferson II,DB,LAC,78.8
Denzel Ward,DB,CLE,78.6
Laiatu Latu,DL,IND,78.5
David Bailey,DL,NYJ,77.8
David Bailey,LB,NYJ,77.8
Zayne Anderson,LB,MIA,77.8
Nathan Shepherd,DL,NO,77.5
Leonard Williams,DL,SEA,77.5
Austin Ajiake,LB,IND,77.4
Mason Graham,DL,CLE,77.1
Grady Jarrett,DL,CHI,77.0
Rueben Bain Jr.,DL,TB,76.9
Rueben Bain Jr.,LB,TB,76.9
Devonte Wyatt,DL,GB,76.8
Riq Woolen,DB,PHI,76.7
Jaycee Horn,DB,CAR,76.5
JuJu Brents,DB,MIA,76.4
George Karlaftis III,DL,KC,76.2
Xavier Woods,DB,CHI,75.7
T'Vondre Sweat,DL,NYJ,75.7
Roger McCreary,DB,DET,75.5
Odafe Oweh,DL,WAS,75.5
Odafe Oweh,LB,WAS,75.5
DJ Wonnum,DL,DET,75.4
DJ Wonnum,LB,DET,75.4
Chop Robinson,DL,MIA,75.3
Chop Robinson,LB,MIA,75.3
Cobie Durant,DB,DAL,75.2
Jaelan Phillips,DL,CAR,75.2
Jaelan Phillips,LB,CAR,75.2
Daron Payne,DL,WAS,75.0
Martin Emerson Jr.,DB,NO,74.9
Nolan Smith Jr.,DL,PHI,74.9
Nolan Smith Jr.,LB,PHI,74.9
Bradley Chubb,DL,BUF,74.8
Dorance Armstrong Jr.,DL,WAS,74.8
Josiah Trotter,LB,TB,74.8
Bradley Chubb,LB,BUF,74.8
L'Jarius Sneed,DB,KC,74.7
Myles Murphy,DL,CIN,74.7
Jonah Laulu,DL,LV,74.6
Kayvon Thibodeaux,DL,NYG,74.5
Kayvon Thibodeaux,LB,NYG,74.5
Jason Marshall Jr.,DB,MIA,74.4
Chris Jones,DL,KC,73.8
Javon Hargrave,DL,GB,73.5
Boye Mafe,DL,CIN,73.4
Boye Mafe,LB,CIN,73.4
Zach Allen,DL,DEN,73.3
Billy Bowman Jr.,DB,ATL,73.2
Andrew Wingard,DB,ARI,73.2
K.J. Britt,LB,NE,73.2
Patrick Jones II,DL,CAR,72.8
Patrick Jones II,LB,CAR,72.8
Travis Jones,DL,BAL,72.7
Harrison Phillips,DL,NYJ,72.3
Jonathan Allen,DL,CIN,72.3
Walter Nolen III,DL,ARI,72.0
Chidobe Awuzie,DB,BAL,71.8
Jalyx Hunt,DL,PHI,71.5
Osa Odighizuwa,DL,SF,71.5
Jalyx Hunt,LB,PHI,71.5
Zach Sieler,DL,MIA,71.2
Teair Tart,DL,LAC,71.0
David Onyemata,DL,NYJ,70.5
Keeanu Benton,DL,PIT,70.2
Donovan Ezeiruaku,DL,DAL,70.2
Dre'Mont Jones,DL,NE,70.2
Donovan Ezeiruaku,LB,DAL,70.2
Dre'Mont Jones,LB,NE,70.2
Jahlani Tavai,DL,JAC,70.0
Jahlani Tavai,LB,JAC,70.0
D.J. Jones,DL,DEN,69.9
Jadeveon Clowney,DL,HOU,69.7
Jadeveon Clowney,LB,HOU,69.7
Kobie Turner,DL,LAR,69.1
Gervon Dexter Sr.,DL,CHI,69.0
DaVon Hamilton,DL,JAC,68.5
Derrick Harmon,DL,PIT,68.5
Leo Chenal,LB,WAS,68.5
Josh Sweat,DL,ARI,68.2
Josh Sweat,LB,ARI,68.2
Kader Kohou,DB,KC,68.0
Uchenna Nwosu,DL,SEA,67.8
Uchenna Nwosu,LB,SEA,67.8
Tyler Nubin,DB,NYG,67.6
Malik Hooker,DB,DAL,67.0
Maliek Collins,DL,CLE,66.9
Greg Newsome II,DB,NYG,66.8
Trey Amos,DB,WAS,66.8
Thomas Booker IV,DL,LV,66.6
Isaiah Pola-Mao,DB,LV,66.5
Rashan Gary,DL,DAL,66.5
Rashan Gary,LB,DAL,66.5
Will McDonald IV,DL,NYJ,66.2
Davon Godchaux,DL,NO,66.1
Levi Drake Rodriguez,DL,MIN,66.1
Devin White,LB,DET,66.1
Vita Vea,DL,TB,66.0
Caleb Banks,DL,MIN,65.7
Derick Hall,DL,SEA,65.0
Derick Hall,LB,SEA,65.0
Denzel Burke,DB,ARI,64.8
Dayo Odeyingbo,DL,CHI,64.8
Mykel Williams,DL,SF,64.4
Mykel Williams,LB,SF,64.4
Grover Stewart,DL,IND,64.3
Caleb Ransaw,DB,JAC,64.2
Arik Armstead,DL,JAC,64.0
Roy Lopez,DL,ARI,63.8
Myles Harden,DB,CLE,63.6
John Franklin-Myers,DL,TEN,63.5
Poona Ford,DL,LAR,63.4
Tony Adams,DB,TEN,63.3
Bobby Brown III,DL,CAR,63.3
Donte Jackson,DB,LAC,63.0
Akheem Mesidor,DL,LAC,63.0
Akheem Mesidor,LB,LAC,63.0
Tershawn Wharton,DL,CAR,62.9
Deone Walker,DL,BUF,62.6
Mike Green,DL,BAL,62.5
Mike Green,LB,BAL,62.5
Ashton Gillotte,DL,KC,62.0
Mekhi Blackmon,DB,IND,61.9
Charles Omenihu,DL,WAS,61.5
Jamaree Caldwell,DL,LAC,61.3
Joseph Ossai,DL,NYJ,60.9
Arden Key,DL,IND,60.9
Arden Key,LB,IND,60.9
Alim McNeill,DL,DET,60.3
Kenny Clark,DL,DAL,60.3
Calijah Kancey,DL,TB,60.2
Christen Miller,DL,NO,60.0
Moro Ojomo,DL,PHI,59.6
Quan Martin,DB,WAS,59.5
C.J. West,DL,SF,59.3
Za'Darius Smith,DL,ATL,59.2
Za'Darius Smith,LB,ATL,59.2
K'Lavon Chaisson,DL,WAS,59.0
K'Lavon Chaisson,LB,WAS,59.0
Dexter Lawrence II,DL,CIN,58.9
Darien Porter,DB,LV,58.6
LaCale London,DL,ATL,58.5
Jonathan Owens,DB,IND,58.4
Justin Eboigbe,DL,LAC,58.1
Dennis Gardeck,DL,JAC,58.0
Brandon Dorlus,DL,ATL,58.0
Dennis Gardeck,LB,JAC,58.0
Brenton Cox Jr.,DL,GB,57.7
Brenton Cox Jr.,LB,GB,57.7
Garrett Williams,DB,ARI,57.6
Calais Campbell,DL,BAL,57.3
Christian Barmore,DL,NE,57.2
R Mason Thomas,DL,KC,56.8
Michael Taaffe,DB,MIA,56.5
Nick Herbig,DL,PIT,56.3
Nick Herbig,LB,PIT,56.3
Jaden Hicks,DB,KC,55.9
Chuck Clark,DB,DET,55.8
Kwity Paye,DL,LV,55.6
Eyioma Uwazurike,DL,DEN,55.1
Braden Fiske,DL,LAR,55.1
D'Angelo Ponds,DB,NYJ,54.9
Tyler Davis,DL,LAR,54.8
Sheldon Rankins,DL,HOU,54.7
Samson Ebukam,DL,ATL,54.6
Samson Ebukam,LB,ATL,54.6
Keldric Faulk,DL,TEN,54.5
Jahdae Barron,DB,DEN,54.4
Tatum Bethune,LB,SF,54.2
Jason Pinnock,DB,NYG,54.1
Darius Robinson,DL,ARI,54.1
Baron Browning,DL,ARI,54.1
Baron Browning,LB,ARI,54.1
Javon Kinlaw,DL,WAS,53.8
Isaiah McGuire,DL,CLE,53.8
Oren Burks,LB,CIN,53.8
Zaven Collins,DL,ARI,53.4
Zaven Collins,LB,ARI,53.4
Jarran Reed,DL,SEA,53.3
Malachi Lawrence,DL,DAL,53.0
Malachi Lawrence,LB,DAL,53.0
Josh Uche,DL,MIA,52.9
Josh Uche,LB,MIA,52.9
Shelby Harris,DL,NYG,52.5
Clelin Ferrell,DL,MIA,52.5
Storm Duck,DB,MIA,52.2
Elijah Ponder,DL,NE,52.0
Elijah Ponder,LB,NE,52.0
Karl Brooks,DL,GB,51.9
Malachi Moore,DB,NYJ,51.1
Shavon Revel Jr.,DB,DAL,50.8
Anthony Hill Jr.,LB,TEN,50.8
Zion Young,DL,BAL,50.5
Zion Young,LB,BAL,50.5
Kitan Oladapo,DB,GB,50.4
Trevis Gipson,DL,CAR,50.0
Trevis Gipson,LB,CAR,50.0
Darius Alexander,DL,NYG,49.5
Khyiris Tonga,DL,KC,49.4
Kenneth Grant,DL,MIA,49.4
RJ Mickens,DB,LAC,49.1
Cameron Jordan,DL,NO,49.0
Troy Dye,LB,LAC,48.5
Sam Okuayinonu,DL,SF,48.3
Carrington Valentine,DB,GB,48.0
Peter Woods,DL,KC,47.9
Shemar Stewart,DL,CIN,47.8
Trenton Simpson,LB,BAL,47.8
Jarrian Jones,DB,JAC,47.7
Alfred Collins,DL,SF,47.5
Jonathan Bullard,DL,DAL,47.4
Cameron Thomas,DL,ATL,47.2
Cameron Thomas,LB,ATL,47.2
Dalvin Tomlinson,DL,LAC,47.0
T.J. Sanders,DL,BUF,46.9
Al-Quadin Muhammad,DL,TB,46.8
Al-Quadin Muhammad,LB,TB,46.8
Tyrion Ingram-Dawkins,DL,MIN,46.7
Jaylen McCollough,DB,LAR,46.4
Elandon Roberts,LB,PIT,46.2
Lonnie Johnson Jr.,DB,MIA,44.9
Jonah Elliss,DL,DEN,44.9
Jonah Elliss,LB,DEN,44.9
Ar'Darius Washington,DB,NYG,44.8
Josaiah Stewart,DL,LAR,44.7
Josaiah Stewart,LB,LAR,44.7
Von Miller,DL,DAL,44.4
Tyrice Knight,LB,SEA,44.4
Von Miller,LB,DAL,44.4
Tyleik Williams,DL,DET,43.8
Cory Durden,DL,NE,43.7
Azareye'h Thomas,DB,NYJ,42.9
Solomon Thomas,DL,TEN,42.8
Ruke Orhorhoro,DL,JAC,42.8
Dondrea Tillman,DL,DEN,42.8
Dondrea Tillman,LB,DEN,42.8
Tavius Robinson,DL,BAL,42.7
Tavius Robinson,LB,BAL,42.7
Adetomiwa Adebawore,DL,IND,42.6
Micheal Clemons,DL,IND,42.6
Malcolm Rodriguez,LB,DET,42.6
James Pearce Jr.,DL,ATL,42.4
James Pearce Jr.,LB,ATL,42.4
Darrell Baker Jr.,DB,MIA,42.2
Christian Rozeboom,LB,TB,42.2
Quincy Riley,DB,NO,41.8
Gabe Jacas,DL,NE,41.8
Gabe Jacas,LB,NE,41.8
Kingsley Enagbare,DL,NYJ,41.6
Kingsley Enagbare,LB,NYJ,41.6
Trey Moore,DL,MIA,41.1
Trey Moore,LB,MIA,41.1
Felix Anudike-Uzomah,DL,KC,40.8
Josh Newton,DB,CIN,40.7
Colton Hood,DB,NYG,40.4
Lathan Ransom,DB,CAR,40.0
Cameron Goode,DL,MIA,40.0
Cameron Goode,LB,MIA,40.0
Jacob Martin,DL,TEN,39.8
Jacob Martin,LB,TEN,39.8
BJ Ojulari,DL,ARI,39.7
BJ Ojulari,LB,ARI,39.7
Joe Andreessen,LB,BUF,39.4
Nohl Williams,DB,KC,39.0
Jordan Burch,DL,ARI,39.0
Jordan Burch,LB,ARI,39.0
Dante Fowler Jr.,DL,SEA,38.8
Dante Fowler Jr.,LB,SEA,38.8
Malcolm Koonce,DL,LV,38.6
Justin Jefferson,LB,CLE,38.6
Bralen Trice,DL,ATL,38.5
Bralen Trice,LB,ATL,38.5
Jack Cochrane,LB,KC,38.0
Jay Ward,DB,MIN,37.8
Kendal Daniels,DB,ATL,37.0
Kendal Daniels,LB,ATL,37.0
Avieon Terrell,DB,ATL,36.0
Jake Golday,LB,MIN,35.4
D'Marco Jackson,LB,CHI,34.9
Wade Woodaz,LB,HOU,34.6
Jermod McCoy,DB,LV,33.9
Cole Holcomb,LB,PIT,33.6
Micah McFadden,LB,NYG,33.6
Cam Taylor-Britt,DB,IND,33.4
Myles Bryant,DB,CLE,33.1
Dell Pettus,DB,NE,32.5
Max Melton,DB,ARI,32.5
Sean Murphy-Bunting,DB,ARI,31.2
Jack Kiser,LB,JAC,30.1
Jeffrey Bassa,LB,KC,29.6
Bryce Boettcher,LB,IND,29.2
Ivan Pace Jr.,LB,MIN,28.9
Claudin Cherelus,LB,CAR,25.6
Jimmy Rolder,LB,DET,25.2
Shemar James,LB,DAL,24.7
JD Bertrand,LB,ATL,23.4
Jack Sanborn,LB,CHI,20.2
Shaka Heyward,LB,CIN,19.9
Jaishawn Barham,DL,DAL,19.6
Junior Colson,LB,LAC,19.6
Jaishawn Barham,LB,DAL,19.6
Shaun Dolac,LB,LAR,19.6
Winston Reid,LB,CLE,19.4
Drew Sanders,LB,DEN,18.6
Red Murdock,LB,DEN,17.6
James Williams Sr.,DB,TEN,17.1
James Williams Sr.,LB,TEN,17.1
Kaleb Elarms-Orr,LB,BUF,15.8
Isaiah McDuffie,LB,GB,15.0
Jeremiah Trotter Jr.,LB,PHI,14.3
Marcelino McCrary-Ball,LB,NYJ,13.5
Garret Wallow,LB,SF,12.9
Channing Tindall,LB,ATL,9.8
Chazz Surratt,LB,SEA,9.4
Kiko Mauigoa,LB,NYJ,8.9
Chad Muma,LB,NE,8.8
Tommy Eichenberg,LB,LV,7.9
Kyle Louis,LB,MIA,7.6
Christian Izien,DB,DET,5.2
Smael Mondon Jr.,LB,PHI,3.9
Jack Kelly,LB,NYG,3.6
Jamal Adams,DB,MIN,0.0
Ronnie Harrison Jr.,DB,MIA,0.0
Jamal Adams,LB,MIN,0.0
Ronnie Harrison Jr.,LB,MIA,0.0
E.J. Speed,LB,HOU,0.0
Joe Giles-Harris,LB,CIN,0.0
Demetrius Flannigan-Fowles,LB,BUF,0.0
Troy Reeder,LB,DET,0.0
Malik Harrison,LB,PIT,0.0
Willie Gay Jr.,LB,MIA,0.0
Darius Muasau,LB,NYG,0.0
